352 7 7
8.6 11.7 10 8 6.6 6.1 4
2.4216 2.4129 2.6722 2.929 2.9712 2.9129 3.0238
11.7 10 8 6.6 6.1 4 3.1
2.4129 2.6722 2.929 2.9712 2.9129 3.0238 2.8786
10 8 6.6 6.1 4 3.1 2.9
2.6722 2.929 2.9712 2.9129 3.0238 2.8786 2.6873
8 6.6 6.1 4 3.1 2.9 3.1
2.929 2.9712 2.9129 3.0238 2.8786 2.6873 2.7751
6.6 6.1 4 3.1 2.9 3.1 3.2
2.9712 2.9129 3.0238 2.8786 2.6873 2.7751 2.7035
6.1 4 3.1 2.9 3.1 3.2 5.5
2.9129 3.0238 2.8786 2.6873 2.7751 2.7035 2.8775
4 3.1 2.9 3.1 3.2 5.5 3.3
3.0238 2.8786 2.6873 2.7751 2.7035 2.8775 2.686
3.1 2.9 3.1 3.2 5.5 3.3 4.4
2.8786 2.6873 2.7751 2.7035 2.8775 2.686 2.6781
2.9 3.1 3.2 5.5 3.3 4.4 1
2.6873 2.7751 2.7035 2.8775 2.686 2.6781 2.6366
3.1 3.2 5.5 3.3 4.4 1 0.1
2.7751 2.7035 2.8775 2.686 2.6781 2.6366 2.56
3.2 5.5 3.3 4.4 1 0.1 1.3
2.7035 2.8775 2.686 2.6781 2.6366 2.56 2.4196
5.5 3.3 4.4 1 0.1 1.3 -0.4
2.8775 2.686 2.6781 2.6366 2.56 2.4196 2.4186
3.3 4.4 1 0.1 1.3 -0.4 0.4
2.686 2.6781 2.6366 2.56 2.4196 2.4186 2.3893
4.4 1 0.1 1.3 -0.4 0.4 4
2.6781 2.6366 2.56 2.4196 2.4186 2.3893 2.4033
1 0.1 1.3 -0.4 0.4 4 9.5
2.6366 2.56 2.4196 2.4186 2.3893 2.4033 2.3276
0.1 1.3 -0.4 0.4 4 9.5 10.1
2.56 2.4196 2.4186 2.3893 2.4033 2.3276 2.293
1.3 -0.4 0.4 4 9.5 10.1 9.5
2.4196 2.4186 2.3893 2.4033 2.3276 2.293 2.2645
-0.4 0.4 4 9.5 10.1 9.5 11
2.4186 2.3893 2.4033 2.3276 2.293 2.2645 2.3225
0.4 4 9.5 10.1 9.5 11 10
2.3893 2.4033 2.3276 2.293 2.2645 2.3225 2.3726
4 9.5 10.1 9.5 11 10 9.1
2.4033 2.3276 2.293 2.2645 2.3225 2.3726 2.3227
9.5 10.1 9.5 11 10 9.1 5
2.3276 2.293 2.2645 2.3225 2.3726 2.3227 2.4971
10.1 9.5 11 10 9.1 5 7
2.293 2.2645 2.3225 2.3726 2.3227 2.4971 2.4662
9.5 11 10 9.1 5 7 10.8
2.2645 2.3225 2.3726 2.3227 2.4971 2.4662 2.3995
11 10 9.1 5 7 10.8 9.1
2.3225 2.3726 2.3227 2.4971 2.4662 2.3995 2.4427
10 9.1 5 7 10.8 9.1 8.8
2.3726 2.3227 2.4971 2.4662 2.3995 2.4427 2.5035
9.1 5 7 10.8 9.1 8.8 7.7
2.3227 2.4971 2.4662 2.3995 2.4427 2.5035 2.4553
5 7 10.8 9.1 8.8 7.7 9.8
2.4971 2.4662 2.3995 2.4427 2.5035 2.4553 2.3749
7 10.8 9.1 8.8 7.7 9.8 12.1
2.4662 2.3995 2.4427 2.5035 2.4553 2.3749 2.3783
10.8 9.1 8.8 7.7 9.8 12.1 11.9
2.3995 2.4427 2.5035 2.4553 2.3749 2.3783 2.4751
9.1 8.8 7.7 9.8 12.1 11.9 10.6
2.4427 2.5035 2.4553 2.3749 2.3783 2.4751 2.4394
8.8 7.7 9.8 12.1 11.9 10.6 12.6
2.5035 2.4553 2.3749 2.3783 2.4751 2.4394 2.4552
7.7 9.8 12.1 11.9 10.6 12.6 5.9
2.4553 2.3749 2.3783 2.4751 2.4394 2.4552 2.44
9.8 12.1 11.9 10.6 12.6 5.9 7.9
2.3749 2.3783 2.4751 2.4394 2.4552 2.44 2.3957
12.1 11.9 10.6 12.6 5.9 7.9 11.1
2.3783 2.4751 2.4394 2.4552 2.44 2.3957 2.2548
11.9 10.6 12.6 5.9 7.9 11.1 9.9
2.4751 2.4394 2.4552 2.44 2.3957 2.2548 2.1527
10.6 12.6 5.9 7.9 11.1 9.9 8.9
2.4394 2.4552 2.44 2.3957 2.2548 2.1527 2.1249
12.6 5.9 7.9 11.1 9.9 8.9 6.7
2.4552 2.44 2.3957 2.2548 2.1527 2.1249 2.1488
5.9 7.9 11.1 9.9 8.9 6.7 8.5
2.44 2.3957 2.2548 2.1527 2.1249 2.1488 2.1749
7.9 11.1 9.9 8.9 6.7 8.5 12.6
2.3957 2.2548 2.1527 2.1249 2.1488 2.1749 2.0229
11.1 9.9 8.9 6.7 8.5 12.6 13.9
2.2548 2.1527 2.1249 2.1488 2.1749 2.0229 2.0249
9.9 8.9 6.7 8.5 12.6 13.9 11.8
